journal_name,subject_area,print_number,online_number,journal_link
Banko Janakari,"Geography. Anthropology. Recreation: Environmental sciences
Agriculture: Forestry",1016-0582,2631-2301,https://doaj.org/toc/1016-0582
نامه انجمن حشره‌شناسی ایران                            Journal of Entomological Society of Iran,Agriculture: Animal culture: Veterinary medicine,0259-9996,2783-3968,https://doaj.org/toc/0259-9996
Grassland Research,"Agriculture: Agriculture (General)
Agriculture: Plant culture",2097-051X,2770-1743,https://doaj.org/toc/2097-051X
Egyptian Journal of Agronematology,"Science: Zoology
Agriculture: Animal culture: Veterinary medicine",1110-6158,2735-4989,https://doaj.org/toc/1110-6158
Translational Research in Veterinary Science,Agriculture: Animal culture: Veterinary medicine,,2657-4489,https://doaj.org/toc/2657-4489
Зернові культури                            Grain Crops,Agriculture,2523-4544,2706-5871,https://doaj.org/toc/2523-4544
Assiut Veterinary Medical Journal,Agriculture: Animal culture: Veterinary medicine,1012-5973,2314-5226,https://doaj.org/toc/1012-5973
Aquaculture Nutrition,Agriculture: Aquaculture. Fisheries. Angling,1353-5773,1365-2095,https://doaj.org/toc/1353-5773
Journal of Sustainable Agriculture and Environment,"Agriculture: Agriculture (General)
Geography. Anthropology. Recreation: Environmental sciences",,2767-035X,https://doaj.org/toc/2767-035X
Can Tho University Journal of Science,"Social Sciences: Social sciences (General)
Agriculture: Agriculture (General)
Technology: Engineering (General). Civil engineering (General)",2615-9422,2815-5602,https://doaj.org/toc/2615-9422
Logista: Jurnal Ilmiah Pengabdian Kepada Masyarakat,Agriculture,2579-6283,2655-951X,https://doaj.org/toc/2579-6283
Cluj Veterinary Journal,Agriculture: Animal culture: Veterinary medicine,2066-9399,,https://doaj.org/toc/2066-9399
Radovi Šumarskog Fakulteta Univerziteta u Sarajevu                            Works of the Faculty of Forestry University of Sarajevo,Agriculture: Forestry,1512-5769,2490-3183,https://doaj.org/toc/1512-5769
مجلة ديالى للعلوم الزراعية                            Diyala Agricultural Sciences Journal,"Agriculture: Agriculture (General)
Agriculture: Forestry
Agriculture: Animal culture: Cattle: Dairying
Agriculture: Animal culture: Cattle: Dairy processing. Dairy products
Agriculture: Animal culture: Veterinary medicine
Agriculture: Aquaculture. Fisheries. Angling
General Works",2073-9524,2310-8746,https://doaj.org/toc/2073-9524
Journal of the World Aquaculture Society,Agriculture: Aquaculture. Fisheries. Angling,0893-8849,1749-7345,https://doaj.org/toc/0893-8849
Jurnal Agribest,Agriculture: Agriculture (General),2581-1339,2615-4862,https://doaj.org/toc/2581-1339
Annals of Forest Science,Agriculture: Forestry,1286-4560,1297-966X,https://doaj.org/toc/1286-4560
Animal Frontiers,Agriculture: Animal culture,2160-6056,2160-6064,https://doaj.org/toc/2160-6056
Agriculture & Food Security,"Agriculture
Technology: Home economics: Nutrition. Foods and food supply",,2048-7010,https://doaj.org/toc/2048-7010
Cedamaz,"Geography. Anthropology. Recreation: Environmental sciences
Science: Botany
Agriculture: Forestry
Technology: Engineering (General). Civil engineering (General)",,1390-5902,https://doaj.org/toc/1390-5902
"Acta Agriculturae Scandinavica. Section B, Soil and Plant Science",Agriculture: Plant culture,0906-4710,1651-1913,https://doaj.org/toc/0906-4710
Biochar,"Geography. Anthropology. Recreation: Environmental sciences
Agriculture",2524-7972,2524-7867,https://doaj.org/toc/2524-7972
Journal of Global Innovations in Agricultural Sciences,Agriculture: Agriculture (General),2788-4538,2788-4546,https://doaj.org/toc/2788-4538
South African Journal of Animal Science,Agriculture: Animal culture,0375-1589,2221-4062,https://doaj.org/toc/0375-1589
"Aquaculture, Fish and Fisheries",Agriculture: Aquaculture. Fisheries. Angling,,2693-8847,https://doaj.org/toc/2693-8847
مجلة جامعة دمشق للعلوم الزراعية                            Damascus University Journal of Agriculture Sciences,Agriculture,1999-7310,2789-7214,https://doaj.org/toc/1999-7310
Revue Forestière Française,Agriculture: Forestry,0035-2829,1951-6827,https://doaj.org/toc/0035-2829
South African Journal of Agricultural Extension,Agriculture,0301-603X,2413-3221,https://doaj.org/toc/0301-603X
Journal of Dairy Science,"Agriculture: Animal culture: Cattle: Dairy processing. Dairy products
Agriculture: Animal culture: Cattle: Dairying",0022-0302,1525-3198,https://doaj.org/toc/0022-0302
Journal of Agricultural Research                            JAR,Agriculture,0368-1157,2076-7897,https://doaj.org/toc/0368-1157
Q Open,"Agriculture: Agriculture (General)
Social Sciences: Industries. Land use. Labor: Economic growth, development, planning",,2633-9048,https://doaj.org/toc/2633-9048
El Higo                            El Higo: Revista de Ciencia y Tecnología,"Agriculture
Science",2413-192X,2413-1911,https://doaj.org/toc/2413-192X
Nigerian Agricultural Journal,Agriculture: Agriculture (General),0300-368X,,https://doaj.org/toc/0300-368X
Journal of Oasis Agriculture and Sustainable Development,Agriculture,2724-699X,2724-7007,https://doaj.org/toc/2724-699X
Central European Forestry Journal                            Lesnícky Časopis,Agriculture: Forestry,2454-034X,2454-0358,https://doaj.org/toc/2454-034X
Fisheries & Aquatic Life,Agriculture: Aquaculture. Fisheries. Angling,2545-0255,2545-059X,https://doaj.org/toc/2545-0255
中国生态农业学报                            Chinese Journal of Eco-Agriculture,Agriculture,2096-6237,,https://doaj.org/toc/2096-6237
African Journal of Biological Sciences,"Science: Microbiology
Agriculture: Aquaculture. Fisheries. Angling",,2663-2187,https://doaj.org/toc/2663-2187
Jurnal Pertanian,"Agriculture: Plant culture
Agriculture: Aquaculture. Fisheries. Angling
Agriculture: Agriculture (General)",2087-4936,2550-0244,https://doaj.org/toc/2087-4936
Journal of Basic Medical Veterinary,Agriculture: Animal culture: Veterinary medicine,2302-6820,2774-9959,https://doaj.org/toc/2302-6820
Acta IMEKO,"Science: Science (General)
Agriculture: Agriculture (General)
Technology
Social Sciences: Social sciences (General)",0237-028X,2221-870X,https://doaj.org/toc/0237-028X
Maǧallaẗ al-baṣraẗ al-ʻulūm al-zirāʻiyyaẗ                            Basrah Journal of Agricultural Sciences,Agriculture: Agriculture (General),1814-5868,2520-0860,https://doaj.org/toc/1814-5868
农业大数据学报                            Journal of Agricultural Big Data,Agriculture,2096-6369,,https://doaj.org/toc/2096-6369
Revista de Investigación e Innovación Agropecuaria y de Recursos Naturales,"Agriculture: Agriculture (General)
Agriculture: Plant culture",2409-1618,2518-6868,https://doaj.org/toc/2409-1618
Jurnal Agrica,Agriculture,1979-8164,2541-593X,https://doaj.org/toc/1979-8164
Agriprima: Journal of Applied Agricultural Sciences,Agriculture: Plant culture,2549-2934,2549-2942,https://doaj.org/toc/2549-2934
Molecular Horticulture,"Agriculture: Plant culture
Science: Botany",,2730-9401,https://doaj.org/toc/2730-9401
Energy Nexus,"Technology: Mechanical engineering and machinery: Renewable energy sources
Agriculture: Agriculture (General)",,2772-4271,https://doaj.org/toc/2772-4271
Drvna Industrija                            DRVNA INDUSTRIJA Scientific Journal of Wood Technology,Agriculture: Forestry,0012-6772,1847-1153,https://doaj.org/toc/0012-6772
Journal of Rural and Community Development,"Agriculture: Agriculture (General)
Technology: Environmental technology. Sanitary engineering: Environmental protection
Social Sciences",,1712-8277,https://doaj.org/toc/1712-8277
Territoires du Vin,"Social Sciences
Agriculture: Plant culture",,1760-5296,https://doaj.org/toc/1760-5296
"International Journal on Food, Agriculture and Natural Resources                            IJ-FANRES","Agriculture
Technology: Home economics: Nutrition. Foods and food supply",,2722-4066,https://doaj.org/toc/2722-4066
East African Journal of Biophysical and Computational Sciences,"Agriculture: Animal culture: Veterinary medicine
Science",2789-360X,2789-3618,https://doaj.org/toc/2789-360X
Smart Agricultural Technology,"Agriculture: Agriculture (General)
Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries",,2772-3755,https://doaj.org/toc/2772-3755
Italus Hortus,"Agriculture: Plant culture
Science: Botany",1127-3496,,https://doaj.org/toc/1127-3496
Nongye tushu qingbao xuebao                            Journal of Library and Information Science in Agriculture,"Bibliography. Library science. Information resources
Agriculture",1002-1248,,https://doaj.org/toc/1002-1248
Известия ТИНРО                            Izvestiya TINRO,Agriculture: Aquaculture. Fisheries. Angling,1606-9919,2658-5510,https://doaj.org/toc/1606-9919
Metsätieteen aikakauskirja,Agriculture: Forestry,1455-2515,2489-3188,https://doaj.org/toc/1455-2515
Open Veterinary Science,Agriculture: Animal culture: Veterinary medicine,,2544-8951,https://doaj.org/toc/2544-8951
Jurnal Ilmu Peternakan dan Veteriner Tropis                            Journal of Tropical Animal and Veterinary Science,"Science
Agriculture: Animal culture: Veterinary medicine",2620-939X,2620-9403,https://doaj.org/toc/2620-939X
Agronomy Science,"Agriculture: Agriculture (General)
Science: Biology (General): Ecology",2544-4476,2544-798X,https://doaj.org/toc/2544-4476
GM Crops & Food,"Agriculture: Plant culture
Science: Biology (General): Genetics",2164-5698,2164-5701,https://doaj.org/toc/2164-5698
Agropecuária Catarinense,Agriculture: Agriculture (General),0103-0779,2525-6076,https://doaj.org/toc/0103-0779
智慧农业                            Smart Agriculture,"Agriculture: Agriculture (General)
Technology: Technology (General)",2096-8094,,https://doaj.org/toc/2096-8094
اقتصاد کشاورزی و توسعه                            Agricultural Economics and Development,"Social Sciences: Industries. Land use. Labor: Economic growth, development, planning
Agriculture",1022-4211,2645-6443,https://doaj.org/toc/1022-4211
Animal Diseases,"Agriculture: Animal culture: Veterinary medicine
Medicine: Public aspects of medicine",,2731-0442,https://doaj.org/toc/2731-0442
Forensic Science International: Animals and Environments,"Science: Biology (General): Ecology
Agriculture: Animal culture: Veterinary medicine",,2666-9374,https://doaj.org/toc/2666-9374
Ciência e Técnica Vitivinícola                            Journal of Viticulture and Enology,Agriculture: Plant culture,0254-0223,2416-3953,https://doaj.org/toc/0254-0223
پژوهش های علوم دامی                            Animal Science Research,"Science: Physiology: Animal biochemistry
Agriculture: Animal culture: Cattle: Dairy processing. Dairy products
Agriculture: Animal culture: Veterinary medicine
Agriculture: Animal culture: Cattle: Dairying",2008-5125,2676-5705,https://doaj.org/toc/2008-5125
Vědecké Práce Ovocnářské                            Scientific Papers of Pomology,"Agriculture: Plant culture
Science: Botany",,2695-1347,https://doaj.org/toc/2695-1347
Asian Fisheries Science,Agriculture: Aquaculture. Fisheries. Angling,0116-6514,2073-3720,https://doaj.org/toc/0116-6514
Agrociencia Uruguay,Agriculture,,2730-5066,https://doaj.org/toc/2730-5066
Dairy,Agriculture: Animal culture: Cattle: Dairy processing. Dairy products,,2624-862X,https://doaj.org/toc/2624-862X
International Journal of Fruit Science,Agriculture: Plant culture,1553-8362,1553-8621,https://doaj.org/toc/1553-8362
Prima: Journal of Community Empowering and Services,"Agriculture: Agriculture (General)
Social Sciences: Communities. Classes. Races",,2579-5074,https://doaj.org/toc/2579-5074
Revista Brasileira de Milho e Sorgo                            Brazilian Journal of Maize and Sorghum,"Agriculture: Plant culture
Agriculture: Agriculture (General)",1676-689X,1980-6477,https://doaj.org/toc/1676-689X
Salud y Tecnología Veterinaria,Agriculture: Animal culture: Veterinary medicine,,2312-3907,https://doaj.org/toc/2312-3907
The Iraqi Journal of Veterinary Medicine,Agriculture: Animal culture: Veterinary medicine,1609-5693,2410-7409,https://doaj.org/toc/1609-5693
Archives of Veterinary Science,Agriculture: Animal culture: Veterinary medicine,1517-784X,2317-6822,https://doaj.org/toc/1517-784X
Quantitative Plant Biology,"Agriculture: Plant culture
Science: Botany",,2632-8828,https://doaj.org/toc/2632-8828
Glasnik Hrvatskog Botaničkog Društva                            Journal of the Croatian Botanical Society,Agriculture: Plant culture,,1848-8102,https://doaj.org/toc/1848-8102
Peruvian Journal of Agronomy,Agriculture: Agriculture (General),,2616-4477,https://doaj.org/toc/2616-4477
Zhongguo youliao zuowu xuebao                            Chinese Journal of Oil Crop Sciences,Agriculture: Plant culture,1007-9084,,https://doaj.org/toc/1007-9084
Jurnal Keteknikan Pertanian Tropis dan Biosistem                            JKPTB,Agriculture,2337-6864,2656-243X,https://doaj.org/toc/2337-6864
پژوهشهای زراعی ایران                            Iranian Journal of Field Crops Research,"Agriculture: Plant culture
Agriculture: Agriculture (General)",2008-1472,2423-3978,https://doaj.org/toc/2008-1472
Cuban Journal of Agricultural Science,Agriculture: Agriculture (General),0864-0408,2079-3480,https://doaj.org/toc/0864-0408
Birds,"Science: Biology (General): Ecology
Agriculture: Animal culture",,2673-6004,https://doaj.org/toc/2673-6004
Sepa                            Jurnal Sosial Ekonomi Pertanian dan Agribisnis,Agriculture,1829-9946,2654-6817,https://doaj.org/toc/1829-9946
مجله آب و خاک                            Journal of Water and Soil,"Agriculture: Agriculture (General)
Technology: Hydraulic engineering: Irrigation engineering. Reclamation of wasteland. Drainage",2008-4757,2423-396X,https://doaj.org/toc/2008-4757
Техніко-технологічні аспекти розвитку та випробування нової техніки і технологій для сільського господарства України                            Тechnical and Technological Aspects of Development and Testing of New Machinery and Technologies for Agriculture of Ukraine,Agriculture,2305-5987,2617-3778,https://doaj.org/toc/2305-5987
Journal of Crop Protection,Agriculture,2251-9041,2251-905X,https://doaj.org/toc/2251-9041
Jurnal Belantara,Agriculture: Forestry,2614-7238,2614-3453,https://doaj.org/toc/2614-7238
Animal,Agriculture: Animal culture,1751-7311,1751-732X,https://doaj.org/toc/1751-7311
Berliner und Münchener Tierärztliche Wochenschrift                            BMTW,Agriculture: Animal culture: Veterinary medicine,,1439-0299,https://doaj.org/toc/1439-0299
مجله اقتصاد و توسعه کشاورزی                            Journal of Agricultural Economics & Development,Agriculture: Agriculture (General),2008-4722,2423-3951,https://doaj.org/toc/2008-4722
مجله جنگل ایران                            Iranian Journal of Forest,Agriculture: Forestry,2008-6113,2423-4435,https://doaj.org/toc/2008-6113
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,"Agriculture: Forestry
Agriculture: Agriculture (General)",0255-965X,1842-4309,https://doaj.org/toc/0255-965X
Journal of Integrative Agriculture,Agriculture: Agriculture (General),2095-3119,2352-3425,https://doaj.org/toc/2095-3119
Zuowu xuebao                            Acta Agronomica Sinica,"Agriculture
Technology: Chemical technology: Biotechnology
Science: Biology (General): Genetics",0496-3490,,https://doaj.org/toc/0496-3490
Ab Intus,"Science: Natural history (General): General. Including nature conservation, geographical distribution
Science: Biology (General)
Agriculture: Agriculture (General)
Agriculture: Animal culture: Veterinary medicine
Agriculture: Animal culture: Cattle",,2618-2734,https://doaj.org/toc/2618-2734
The Journal of Poultry Science,Agriculture: Animal culture,1346-7395,1349-0486,https://doaj.org/toc/1346-7395
بوم شناسی کشاورزی                            Agroecology,Agriculture: Plant culture,2008-7713,2423-4281,https://doaj.org/toc/2008-7713
پژوهشهای علوم دامی ایران                            Iranian Journal of Animal Science Research,Agriculture: Animal culture,2008-3106,2423-4001,https://doaj.org/toc/2008-3106
Western Balkan Journal of Agricultural Economics and Rural Development,"Agriculture
Technology: Environmental technology. Sanitary engineering: Rural and farm sanitary engineering",2683-4693,2683-572X,https://doaj.org/toc/2683-4693
Frontiers in Animal Science                          ,Agriculture: Animal culture: Veterinary medicine,2673-6225,,https://doaj.org/toc/2673-6225
Frontiers in Fungal Biology                          ,Agriculture: Plant culture,2673-6128,,https://doaj.org/toc/2673-6128
Journal of Applied Veterinary Sciences,"Science: Zoology
Agriculture: Animal culture: Veterinary medicine
Science: Physiology: Animal biochemistry",1687-4072,2090-3308,https://doaj.org/toc/1687-4072
"Demetra                            Alimentação, Nutrição & Saúde","Agriculture: Agriculture (General)
Medicine: Public aspects of medicine",,2238-913X,https://doaj.org/toc/2238-913X
Recursos Rurais,"Agriculture: Forestry
Agriculture: Agriculture (General)",1885-5547,2255-5994,https://doaj.org/toc/1885-5547
Zeszyty Naukowe Szkoły Głównej Gospodarstwa Wiejskiego w Warszawie. Problemy Rolnictwa Światowego                            Scientific Journal Warsaw University of Life Sciences-SGGW,Agriculture,2081-6960,2544-0659,https://doaj.org/toc/2081-6960
Çanakkale Onsekiz Mart University Journal of Marine Sciences and Fisheries,Agriculture: Aquaculture. Fisheries. Angling,,2651-5326,https://doaj.org/toc/2651-5326
Economia Agro-Alimentare                            Food Economy,Agriculture,1126-1668,1972-4802,https://doaj.org/toc/1126-1668
Технологія виробництва і переробки продуктів тваринництва                            Animal Husbandry Products Production and Processing,Agriculture: Animal culture,2310-9289,2415-7635,https://doaj.org/toc/2310-9289
Manglar,"Science: Biology (General): Ecology
Agriculture: Agriculture (General)
Agriculture: Plant culture
Agriculture: Animal culture",1816-7667,2414-1046,https://doaj.org/toc/1816-7667
Milk Science International                            Milchwissenschaft,Agriculture: Animal culture: Cattle: Dairy processing. Dairy products,0026-3788,2567-9538,https://doaj.org/toc/0026-3788
Citrus Research & Technology,Agriculture: Plant culture,2177-5419,2236-3122,https://doaj.org/toc/2177-5419
Journal of Agriculture and Food Research,"Agriculture: Agriculture (General)
Technology: Home economics: Nutrition. Foods and food supply",,2666-1543,https://doaj.org/toc/2666-1543
Journal of Cannabis Research,"Medicine: Pharmacy and materia medica
Agriculture: Plant culture",,2522-5782,https://doaj.org/toc/2522-5782
Alexandria Science Exchange Journal,Agriculture,1110-0176,2536-9784,https://doaj.org/toc/1110-0176
Romanian Journal of Horticulture,Agriculture: Plant culture,2734-7656,2734-8083,https://doaj.org/toc/2734-7656
Silva Balcanica                          ,"Agriculture: Forestry
Agriculture: Animal culture
Agriculture: Plant culture",1311-8706,2815-2549,https://doaj.org/toc/1311-8706
